RegionID,SizeRank,RegionName,RegionType,StateName,Y2019,Y2020,Y2021,Y2022,Y2023
395031,52,"Rochester, NY",msa,NY,145009,157056.6667,174056.75,187521.6667,206553.75
394308,64,"Albany, NY",msa,NY,190809.5833,205996.25,243080.1667,273557.8333,285234.4167
395143,91,"Syracuse, NY",msa,NY,141999.5833,154923.8333,165664.5,181462.4167,199733.6667
395179,169,"Utica, NY",msa,NY,125177.75,137153.75,157331.4167,171864.5833,177288.3333
394387,195,"Binghamton, NY",msa,NY,112198.5833,126395.1667,143582,154184.5833,162972.4167
394748,241,"Kingston, NY",msa,NY,228451.5833,262220.9167,303980.9167,344665.0833,363491.0833
394719,328,"Jamestown, NY",msa,NY,96925.16667,112351,125658.1667,144950.5833,144800.25
394633,331,"Glens Falls, NY",msa,NY,171481.9167,186873.0833,211323.25,234803.75,240464.9167
395213,351,"Watertown, NY",msa,NY,148159.6667,153187.25,171335.8333,185377.75,194664.5833
394709,376,"Ithaca, NY",msa,NY,216753.8333,242316.0833,264393.0833,308354.8333,312689.25
394501,413,"Corning, NY",msa,NY,102683.8333,117002.1667,133204.8333,142007.9167,146641.8333
394568,432,"Elmira, NY",msa,NY,100807.5,118621.9167,131262.1667,141540.8333,135666.4167
394986,452,"Plattsburgh, NY",msa,NY,137257,151929.8333,184146.25,215750.9167,208856.6667
394936,459,"Olean, NY",msa,NY,88150.58333,110351.0833,126656.3333,133419.5,129986.75
394350,464,"Auburn, NY",msa,NY,123823.8333,137337.3333,150664,159691.5,177492
394693,528,"Hudson, NY",msa,NY,240335.25,300261.5833,350344.1667,411148.4167,457275.75
394939,542,"Oneonta, NY",msa,NY,130519.5,149474.5833,161188.9167,185689.25,183698.75
394634,579,"Gloversville, NY",msa,NY,116095,132898.75,151005.5,154550.8333,166305.0833
394466,28,"Cincinnati, OH",msa,OH,166957.0833,180813.25,203429,220917.1667,232574.6667
394492,32,"Columbus, OH",msa,OH,183554.6667,199451.1667,227450.0833,251158.8333,265345.5833
394475,35,"Cleveland, OH",msa,OH,136806.5,148491.75,162343.6667,173301.5,179745
845158,74,"Dayton, OH",msa,OH,129085.8333,142579.75,154390.9167,163601.5833,173403.0833
394304,83,"Akron, OH",msa,OH,138425.75,148844.1667,155030,165767.25,170449
395160,93,"Toledo, OH",msa,OH,115456.9167,125896.0833,134433,141395.0833,143281.6667
395245,106,"Youngstown, OH",msa,OH,99898.33333,108985.3333,122116.4167,130580,135876.5833
394439,137,"Canton, OH",msa,OH,128247.8333,137446.0833,146267.8333,151349,159342.8333
394697,151,"Huntington, WV",msa,OH,124728.3333,130918.25,142788.8333,152593.75,155678.5833
395221,309,"Wheeling, WV",msa,OH,107320.3333,115131.1667,119636.8333,119456.25,116601.75
395117,316,"Springfield, OH",msa,OH,112604.3333,117803.9167,128341,139947.4167,144381.8333
394824,337,"Mansfield, OH",msa,OH,107473.8333,118672.6667,127474.0833,137652.75,140980.5833
395217,353,"Weirton, WV",msa,OH,86812.75,97539.91667,112219.3333,121440.4167,108728.75
394794,387,"Lima, OH",msa,OH,101271.6667,116475.6667,126232.5833,135071,142234.4167
753915,388,"Salem, OH",msa,OH,104754.3333,100069.75,115800.6667,126627.9167,133886.9167
394340,404,"Ashtabula, OH",msa,OH,96765.41667,112913.0833,125109.3333,128557.9167,139347.1667
394911,414,"New Philadelphia, OH",msa,OH,114937.0833,121210.1667,139698.75,150091.4167,165429.8333
395248,426,"Zanesville, OH",msa,OH,125064.5833,132751.9167,141236.75,142838.9167,157775.5833
394465,460,"Chillicothe, OH",msa,OH,105065.9167,127077,144464.75,145658.8333,157492.6667
395062,469,"Sandusky, OH",msa,OH,127238.8333,145745.6667,157031.8333,164099.0833,171324.9167
394593,470,"Findlay, OH",msa,OH,149533.9167,151181.3333,164060.25,173679.5833,183528.25
